modelo,ano,preco,mileage
i3,2017,30231,20502
i3,2016,61800,41665
i3,2017,54002,63730
i3,2012,52305,54634
i3,2013,49329,115276
i3,2011,72543,119972
i3,2018,68578,62345
i3,2014,36500,112112
i3,2022,59020,133156
i3,2017,32292,36745
i3,2019,63232,12079
i3,2016,49502,18781
i3,2022,69970,57996
i3,2023,31790,17749
i3,2012,39383,83856
i3,2013,37365,7416
i3,2017,57417,93070
i3,2014,55277,50883
i3,2011,38423,90444
i3,2012,32587,36004
i3,2017,67804,113841
i3,2016,69579,91620
i3,2015,64485,116958
i3,2012,31378,128004
i3,2012,45766,98213
i3,2014,39899,29454
i3,2020,41639,77914
i3,2011,75554,91819
i3,2023,45088,5082
i3,2022,52691,71140
i3,2014,76642,63156
i3,2023,52102,25903
i3,2022,35287,88962
i3,2015,68350,47240
i3,2018,39346,72634
i3,2022,42813,99579
i3,2020,63202,126610
i3,2019,76673,83464
i3,2018,61504,90576
i3,2011,49033,104263
i3,2023,79489,56764
i3,2015,40987,107137
i3,2012,46200,27226
i3,2021,75198,123140
i3,2019,54400,121399
i3,2014,47307,21895
i3,2014,74645,67451
i3,2021,31847,146058
i3,2014,41224,18446
i3,2020,33210,56750
i3,2015,71852,28142
i3,2018,67836,73853
i3,2018,57976,122481
i3,2010,62325,64011
i3,2014,68372,98402
i3,2021,53439,7587
i3,2021,33404,87644
i3,2012,46812,59746
i3,2022,42889,54158
i3,2021,49262,83959
i3,2023,30831,79435
i3,2016,79081,60977
i3,2016,51049,70784
i3,2017,57452,37209
i3,2014,63684,65482
i3,2017,41007,65539
i3,2023,30876,136394
i3,2016,38634,144279
i3,2011,39798,19908
i3,2015,33895,66036
i3,2015,63030,125795
i3,2011,74704,55675
i3,2012,47414,38710
i3,2014,37533,12016
i3,2014,32325,100810
i3,2020,59824,28182
i3,2014,45218,101985
i3,2016,40363,63239
i3,2022,42534,32318
i3,2020,48648,148879
i3,2021,43184,60331
i3,2020,44230,38625
i3,2015,64095,12576
i3,2012,45596,111580
i3,2022,69002,9283
i3,2023,52164,114638
i3,2017,46205,58874
i3,2011,49248,51506
i3,2019,46455,33386
i3,2020,40680,15647
i3,2011,30398,53111
i3,2023,59992,94051
i3,2014,54120,147927
i3,2015,53569,53292
i3,2010,52348,93987
i3,2010,37583,147824
i3,2022,47643,127176
i3,2012,53609,143375
i3,2017,64273,78167
i3,2014,78386,43906
i3,2023,46942,32046
i3,2019,50567,105660
i3,2022,59043,24228
i3,2018,79200,25874
i3,2021,52757,140018
i3,2020,50154,107431
i3,2019,57114,37758
i3,2014,44243,57094
i3,2015,36360,128423
i3,2014,78092,119310
i3,2017,64258,83312
i3,2016,59431,44140
i3,2015,42690,69255
i3,2015,60332,148597
i3,2011,37639,88408
i3,2019,46633,120524
i3,2017,33334,93510
i3,2022,37810,7167
i3,2013,35442,124545
i3,2021,34220,40706
i3,2020,79103,140438
i3,2023,40631,129817
i3,2015,46506,133743
i3,2020,37102,80688
i3,2019,44340,98507
i3,2012,47582,138780
i3,2019,54431,29939
i3,2014,73210,102626
i3,2023,78335,134344
i3,2018,37820,95176
i3,2018,73005,12485
i3,2015,65758,21678
i3,2014,65403,39898
i3,2014,67738,132178
i3,2017,60877,31745
i3,2012,43484,128169
i3,2012,53385,22398
i3,2021,42793,38468
i3,2019,45187,38485
i3,2011,65006,57513
i3,2019,79504,31257
i3,2017,65335,61237
i3,2012,74501,117032
i3,2021,31325,96245
i3,2015,73184,133327
i3,2014,55768,108954
i3,2023,43232,75436
i3,2011,70039,106659
i3,2021,31179,110937
i3,2017,71493,124806
i3,2010,31602,27811
i3,2019,49839,138279
i3,2011,68997,67154
i3,2012,45351,62564
i3,2014,71559,72434
i3,2016,30115,18080
i3,2012,35604,105648
i3,2015,71433,128640
i3,2015,72205,65146
i3,2019,48581,113685
i3,2011,60836,23387
i3,2020,47512,64551
i3,2016,44281,138574
i3,2020,66798,107386
i3,2015,41617,116317
i3,2010,71975,37830
i3,2023,51576,127647
i3,2020,55582,122115
i3,2022,70042,82441
i3,2012,48267,23070
i3,2010,35874,67180
i3,2017,75498,36148
i3,2014,62853,134858
i3,2013,62319,85789
i3,2014,77709,95836
i3,2017,42155,75430
i3,2015,38099,23226
i3,2019,36788,107493
i3,2012,53272,48145
i3,2020,45413,9385
i3,2012,46086,136842
i3,2013,33084,125221
i3,2012,36409,43269
i3,2014,42085,77973
i3,2017,45012,19761
i3,2016,47086,130670
i3,2023,50343,112935
i3,2014,55125,59249
i3,2020,79393,5351
i3,2019,65244,74692
i3,2013,74602,26302
i3,2013,47689,56739
i3,2023,68676,38190
i3,2022,44535,38069
i3,2012,76769,49522
i3,2021,46537,93052
i3,2019,44946,81790
i3,2015,77814,67410
i3,2016,42784,44339
i3,2011,38681,117114
i3,2013,43466,44685
i3,2017,47770,141770
i3,2021,37582,33533
i3,2015,62436,74200
i3,2019,76865,41365
i3,2012,38934,128848
i3,2017,79998,24789
i3,2019,34617,71765
i3,2014,56950,145069
i3,2021,51837,109004
i3,2023,46883,141395
i3,2014,30388,75037
i3,2013,59189,27431
i3,2020,59353,10540
i3,2013,30315,101991
i3,2020,75363,141875
i3,2017,74989,118368
i3,2012,48345,49914
i3,2013,37358,109154
i3,2016,36245,98222
i3,2023,74076,12555
i3,2020,73881,140519
i3,2015,42006,135949
i3,2017,56765,134204
i3,2013,76073,68906
i3,2020,30115,118567
i3,2018,51665,94201
i3,2022,46292,92405
i3,2022,77270,141946
i3,2016,38730,65493
i3,2013,73417,11437
i3,2013,41981,38398
i3,2015,48901,30500
i3,2010,75784,54478
i3,2015,56120,87357
i3,2014,31836,102861
i3,2014,32821,22947
i3,2022,54528,139047
i3,2012,34067,138718
i3,2017,56767,72616
i3,2018,47626,11713
i3,2012,63189,25391
i3,2015,65231,107504
i3,2013,41007,47058
i3,2013,38131,107787
i3,2011,77886,134307
i3,2013,48278,6284
i3,2023,76703,47145
i3,2011,48283,98582
i3,2010,42543,90021
i3,2012,34133,109800
i3,2021,38366,53181
i3,2018,50341,17082
i3,2021,44425,131847
i3,2017,70513,111026
i3,2015,37429,6657
i3,2014,35078,27738
i3,2023,77969,87245
i3,2015,67275,149993
i3,2012,68772,70962
i3,2014,55574,23625
i3,2020,45203,59852
i3,2011,64852,98150
i3,2014,77394,114733
i3,2020,54102,131843
i3,2018,45241,95606
i3,2010,74249,88229
i3,2017,75442,87109
i3,2015,58236,81190
i3,2012,59171,132557
i3,2020,65848,5675
i3,2012,47013,48825
i3,2011,40775,13887
i3,2016,40844,13407
i3,2013,61306,139603
i3,2023,36286,114215
i3,2019,64124,41993
i3,2019,32922,133489
i3,2012,49847,40225
i3,2017,38216,35554
i3,2014,62159,127096
i3,2020,40242,45974
i3,2016,47724,90994
i3,2019,46313,142719
i3,2012,68843,149848
i3,2023,43617,133009
i3,2013,66170,133981
i3,2014,78627,145315
i3,2014,65605,92932
i3,2010,33564,60266
i3,2018,44960,36457
i3,2010,70467,30577
i3,2013,46755,149645
i3,2023,71562,70353
i3,2013,66731,31465
i3,2013,57317,130887
i3,2015,74992,122663
i3,2012,31860,50870
i3,2018,68540,88989
i3,2022,58759,23990
i3,2017,63141,55159
i3,2022,55668,24831
i3,2011,52290,117651
i3,2022,77182,63354
i3,2023,79081,83212
i3,2015,47734,124410
i3,2021,75389,84194
i3,2023,42978,112398
i3,2022,47410,111401
i3,2012,62491,145309
i3,2013,42217,91541
i3,2012,68405,36038
i3,2020,56740,108834
i3,2022,44384,43096
i3,2017,50270,51919
i3,2019,68331,34922
i3,2014,42269,74056
i3,2013,56593,87827
i3,2018,77828,102410
i3,2023,58425,75754
i3,2022,71817,140544
i3,2019,41579,50231
i3,2016,47698,111653
i3,2011,39414,122135
i3,2010,42442,54382
i3,2012,79459,36766
i3,2010,36031,94143
i3,2022,51170,68869
i3,2012,74635,110625
i3,2016,35636,54271
i3,2017,59012,78508
i3,2023,35903,35043
i3,2015,76244,90158
i3,2019,52932,44862
i3,2012,73882,106489
i3,2022,53568,6376
i3,2015,36594,125863
i3,2018,69601,52070
i3,2015,34267,133999
i3,2019,73571,13169
i3,2015,56222,125844
i3,2021,57547,47561
i3,2011,45729,104038
i3,2020,74088,13047
i3,2012,36346,57784
i3,2011,45631,102530
i3,2020,67239,34110
i3,2015,47431,43645
i3,2022,78559,99030
i3,2011,47920,111941
i3,2016,32889,27647
i3,2016,36642,37519
i3,2010,67158,7861
i3,2015,40616,25600
i3,2019,44141,21071
i3,2022,71026,60869
i3,2014,74713,69150
i3,2016,36418,148170
i3,2011,37253,103571
i3,2019,55186,127578
i3,2017,54514,131199
i3,2010,72723,45518
i3,2016,72282,98288
i3,2019,70658,143128
i3,2014,43159,37983
i3,2020,61550,90910
i3,2020,47292,66055
i3,2023,34940,141729
i3,2013,71909,69614
i3,2022,43925,77375
i3,2013,72894,22588
i3,2011,30326,46433
i3,2017,79411,123194
i3,2011,50692,50593
i3,2013,34853,41541
i3,2010,49419,69037
i3,2014,57243,33890
i3,2021,59936,30142
i3,2016,48094,117411
i3,2013,58652,99299
i3,2012,40336,23905
i3,2019,60037,40063
i3,2014,54336,64564
i3,2010,47567,37833
i3,2016,68191,48584
i3,2011,36077,140971
i3,2013,55118,148915
i3,2012,48641,55655
i3,2018,39161,114170
i3,2015,41557,135794
i3,2019,36388,42519
i3,2023,47750,141638
i3,2023,37257,89035
i3,2016,65147,11788
i3,2019,74563,88639
i3,2019,53419,140926
i3,2018,60195,77431
i3,2016,48650,96377
i3,2020,58880,140268
i3,2020,63578,18040
i3,2019,50070,19057
i3,2015,73589,115928
i3,2016,64473,63656
i3,2022,77517,124904
i3,2021,64927,5144
i3,2020,64822,69674
i3,2018,34798,66219
i3,2017,35218,42808
i3,2013,37400,53396
i3,2021,41950,9973
i3,2012,46188,133764
i3,2023,75269,54497
i3,2013,34068,78218
i3,2013,56541,62085
i3,2013,55614,129380
i3,2013,68051,79032
i3,2022,66169,62066
i3,2010,32001,102579
i3,2014,43894,127328
i3,2022,60463,72439
i3,2018,59751,53922
i3,2012,39773,33926
i3,2020,53778,17377
i3,2022,52394,36171
i3,2021,65769,92672
i3,2020,68160,116030
i3,2013,48156,58621
i3,2016,40621,53331
i3,2017,69828,130300
i3,2013,57674,62775
i3,2019,59830,33452
i3,2010,79002,42720
i3,2014,76787,45958
i3,2023,37851,37718
i3,2014,43688,83081
i3,2022,58063,94450
i3,2014,45705,52617
i3,2014,66596,17362
i3,2018,76080,77065
i3,2022,46242,62943
i3,2014,34310,97131
i3,2016,54194,38544
i3,2019,74276,149691
i3,2013,56692,53555
i3,2021,55872,43845
i3,2012,64819,47771
i3,2010,47781,100691
i3,2011,49405,55753
i3,2018,50678,19178
i3,2010,79129,122975
i3,2012,76718,88426
i3,2022,38322,138942
i3,2018,56952,58584
i3,2010,67490,6658
i3,2011,69875,67094
i3,2015,63506,81250
i3,2011,71846,19247
i3,2015,61803,46077
i3,2020,79803,33949
i3,2011,58989,101406
i3,2015,74159,31041
i3,2012,57303,94321
i3,2017,35150,29164
i3,2018,74472,101566
i3,2020,56462,36472
i3,2013,33196,101818
i3,2018,65692,134441
i3,2017,73903,92074
i3,2016,32464,45685
i3,2021,59169,11707
i3,2015,62535,79030
i3,2014,50769,96347
i3,2023,73028,39301
i3,2011,68506,113224
i3,2020,77326,60008
i3,2020,56197,57013
i3,2015,50882,127477
i3,2016,76196,112744
i3,2013,36988,95330
i3,2021,78314,134038
i3,2014,64270,124440
i3,2016,70798,67145
i3,2017,48346,71817
i3,2017,70294,119041
i3,2016,61156,65851
i3,2017,68036,68516
i3,2016,61394,71174
i3,2019,67298,60167
i3,2013,40038,77036
i3,2021,62332,85303
i3,2022,67211,25037
i3,2011,66669,36779
i3,2011,66941,64033
i3,2020,50861,39908
i3,2021,41549,111847
i3,2020,40118,90600
i3,2011,56545,139872
i3,2016,40329,145975
i3,2011,30610,103951
i3,2013,66376,69897
i3,2020,45361,52090
i3,2013,65994,55745
i3,2013,39783,147144
i3,2018,37918,111234
i3,2021,30243,119739
i3,2014,73409,137755
i3,2019,48841,89344
i3,2019,79644,139196
i3,2018,60340,18916
i3,2010,33255,134044
i3,2019,42183,87400
i3,2021,52234,131095
i3,2017,32877,106151
i3,2015,54757,120862
i3,2016,53565,132773
i3,2021,56171,76513
i3,2017,78703,88337
i3,2017,67657,34744
i3,2017,64274,72466
i3,2020,36740,19687
i3,2022,65133,28768
i3,2015,73853,140016
i3,2021,48892,60822
i3,2019,59523,127129
i3,2015,59573,7715
i3,2020,52222,88290
i3,2021,74008,89332
i3,2023,51741,125062
i3,2017,73247,28469
i3,2020,36340,98590
i3,2023,62025,136940
i3,2018,47001,25261
i3,2014,51944,73520
i3,2020,42773,102681
i3,2010,31366,31288
i3,2014,76953,124357
i3,2022,55619,70967
i3,2013,46836,26698
i3,2017,71990,72278
i3,2020,37848,80628
i3,2013,40376,109255
i3,2021,73368,32269
i3,2022,60465,149585
i3,2010,53561,77625
i3,2015,49107,36146
i3,2019,47111,108276
i3,2015,52431,28880
i3,2019,59981,13837
i3,2020,63446,83434
i3,2013,31356,37310
i3,2023,58579,97500
i3,2015,63518,119958
i3,2015,40131,34620
i3,2016,79979,92747
i3,2014,44019,23439
i3,2019,50926,142984
i3,2010,73241,105107
i3,2018,44431,82028
i3,2013,65425,106626
i3,2019,40848,34490
i3,2015,45905,64635
