modelo,ano,preco,mileage
Z4,2023,61345,138324
Z4,2013,69700,130204
5 Series,2022,71892,145521
5 Series,2012,35524,74993
i3,2013,16300,52473
X1,2017,65914,128117
5 Series,2010,51159,115537
Z4,2021,49343,31725
Z4,2023,44584,61498
3 Series,2021,38276,45173
3 Series,2011,27980,20503
i3,2015,24427,23097
X1,2014,68767,102190
i3,2012,55811,48770
X1,2020,43461,127024
5 Series,2021,60676,11982
3 Series,2020,78244,32212
X1,2014,18873,125293
3 Series,2010,25620,31526
X1,2011,15939,65393
i3,2010,60929,54954
3 Series,2021,50189,43684
i3,2014,52919,53708
Z4,2015,73585,5946
i3,2015,63885,137897
i3,2017,27605,80649
3 Series,2014,76859,58784
X1,2011,53587,120408
i3,2010,27826,38126
i3,2022,50343,14711
X1,2016,60545,33490
Z4,2023,43692,71208
X1,2023,75943,71980
i3,2016,50902,50331
X1,2014,44786,58992
5 Series,2016,37072,19569
Z4,2022,57925,92874
X1,2015,41625,26083
X1,2021,75823,50511
i3,2014,56010,61751
3 Series,2020,56544,111839
3 Series,2020,42819,6519
Z4,2012,68158,40782
X1,2016,44187,29350
X1,2011,72919,65580
X1,2018,32949,45799
5 Series,2021,75902,105407
5 Series,2014,56982,36850
X1,2023,39498,53850
X1,2011,23917,125390
i3,2012,61702,56362
X1,2016,46088,24330
Z4,2017,58159,84818
Z4,2016,18016,54898
Z4,2016,19282,119824
Z4,2017,28237,13417
5 Series,2021,69877,69418
i3,2013,55493,27173
X1,2015,26233,6163
5 Series,2016,68438,139396
Z4,2016,79087,24007
5 Series,2013,52456,139353
i3,2023,26387,46403
5 Series,2023,60674,25494
X1,2015,77048,75258
5 Series,2015,25984,66852
i3,2010,22330,121940
i3,2014,53890,46050
5 Series,2017,64919,104615
5 Series,2020,65186,111149
3 Series,2011,26700,108595
i3,2013,64640,114072
3 Series,2023,70839,33964
i3,2019,16547,149679
X1,2014,26469,149954
Z4,2013,70614,70255
3 Series,2016,40864,144077
Z4,2022,22667,113437
X1,2010,70433,137135
i3,2016,76335,43863
X1,2016,43253,62395
3 Series,2012,34675,79698
Z4,2015,36687,27448
3 Series,2016,25443,34540
Z4,2019,25322,106346
X1,2012,17997,110828
3 Series,2020,24317,64822
i3,2021,73898,90540
5 Series,2023,64870,108413
3 Series,2017,60156,119617
3 Series,2021,48722,32791
Z4,2023,33968,8697
3 Series,2012,76221,113823
Z4,2022,21366,119908
X1,2022,59423,91582
X1,2011,37823,135736
5 Series,2021,49049,32724
i3,2017,32190,37246
3 Series,2015,66016,77837
5 Series,2016,66713,97774
3 Series,2010,77008,124824
Z4,2010,41324,100749
3 Series,2014,50132,20338
X1,2013,71995,108589
i3,2015,24853,98818
i3,2021,24023,54133
X1,2013,22986,143327
X1,2013,67679,28037
Z4,2018,70948,87254
5 Series,2011,17498,122173
Z4,2018,64040,140164
i3,2023,16016,25216
X1,2012,41286,97234
5 Series,2013,26243,70243
X1,2019,48682,32696
i3,2023,72518,14628
i3,2023,72790,124738
X1,2010,27852,77562
i3,2012,32040,25840
5 Series,2020,73080,116551
Z4,2014,50322,43359
5 Series,2021,31767,9843
X1,2020,32197,125037
3 Series,2021,75464,61595
i3,2019,18547,134169
Z4,2021,63650,137654
3 Series,2022,66922,147700
i3,2021,27708,130540
Z4,2015,67753,113875
X1,2022,25260,32465
5 Series,2017,34631,148783
3 Series,2014,79695,120987
X1,2020,47208,115888
i3,2013,75614,45868
Z4,2016,39945,81545
i3,2016,25561,69698
i3,2019,41396,15315
Z4,2017,71544,6440
5 Series,2020,46847,100705
5 Series,2023,51613,37943
5 Series,2013,24903,121396
5 Series,2015,62572,112965
X1,2023,40935,28502
i3,2023,31225,46613
5 Series,2020,45667,52335
3 Series,2019,21377,113625
Z4,2018,27675,72091
Z4,2018,55379,122985
3 Series,2019,70043,62633
Z4,2022,17362,89491
i3,2012,76117,5019
X1,2017,28220,6218
3 Series,2012,56301,101539
i3,2015,19190,140132
3 Series,2012,48551,7234
5 Series,2022,39529,25392
X1,2023,75480,65881
Z4,2020,48502,47147
Z4,2022,37650,67372
i3,2012,39445,83108
X1,2018,61022,61545
X1,2015,77480,32357
X1,2017,34107,33413
3 Series,2016,48336,142374
i3,2012,33747,106367
Z4,2023,25909,7841
5 Series,2013,46697,6267
X1,2017,77198,28938
X1,2015,22049,36747
Z4,2020,26799,45037
3 Series,2012,63123,30596
5 Series,2012,29172,29212
X1,2014,35313,119926
3 Series,2023,68871,126080
X1,2017,17452,131649
5 Series,2017,46015,69153
X1,2021,43045,51309
5 Series,2020,68708,79817
3 Series,2010,15298,111930
X1,2010,67426,137388
5 Series,2012,41762,70001
i3,2016,28355,8186
Z4,2013,61387,103954
5 Series,2016,57592,9583
5 Series,2018,42624,92466
3 Series,2019,33072,12079
3 Series,2021,48866,73260
X1,2013,74696,101909
Z4,2021,37450,116158
i3,2020,17720,53143
X1,2010,36368,111921
X1,2012,43008,68751
i3,2019,41377,83326
i3,2012,22343,17972
3 Series,2010,31360,90691
i3,2010,32268,83133
i3,2022,78020,8089
5 Series,2023,25808,12195
i3,2023,42235,36338
Z4,2023,41588,125186
5 Series,2016,72095,28944
i3,2015,26509,100703
X1,2011,35509,50431
X1,2021,58207,132684
5 Series,2011,39073,26302
X1,2013,71069,104675
5 Series,2022,72259,38229
3 Series,2020,22841,81444
5 Series,2023,44741,148447
3 Series,2014,33166,73418
i3,2015,22413,21256
i3,2012,64038,99348
3 Series,2010,78921,144975
i3,2015,25256,9881
3 Series,2010,39592,62325
i3,2019,71500,141381
5 Series,2020,70527,127609
3 Series,2017,19699,80669
3 Series,2019,77309,46986
X1,2016,44423,7964
5 Series,2017,55171,113399
3 Series,2022,65765,28517
Z4,2017,58260,93253
i3,2016,26843,145101
X1,2022,73502,28793
X1,2019,67516,49860
3 Series,2014,79739,95108
X1,2023,79889,146589
5 Series,2023,38248,32890
X1,2011,45893,47165
3 Series,2019,70901,81278
Z4,2021,31606,64305
i3,2011,28555,15593
X1,2011,78983,99384
3 Series,2022,58906,12211
3 Series,2014,18013,68885
3 Series,2019,39832,8233
Z4,2017,77107,123289
X1,2020,26626,86003
i3,2012,36711,12087
5 Series,2022,60780,107807
3 Series,2011,49040,132582
i3,2023,54314,92337
3 Series,2021,33434,66665
5 Series,2014,75951,82015
i3,2011,79215,74611
i3,2015,64434,38355
5 Series,2018,52782,68893
3 Series,2015,15603,143556
i3,2020,19065,86573
X1,2013,37371,49694
5 Series,2011,26288,64870
X1,2017,45345,68796
3 Series,2012,28977,112971
X1,2022,65820,64664
X1,2015,34434,133193
Z4,2018,48197,20586
i3,2014,33680,27690
3 Series,2022,74530,23649
Z4,2018,64794,81529
3 Series,2014,45097,43478
Z4,2016,65230,29423
5 Series,2019,47344,106233
5 Series,2013,25739,23894
i3,2022,31182,55181
Z4,2017,26878,66230
5 Series,2014,29340,14438
3 Series,2015,70746,82177
i3,2018,45593,86737
3 Series,2019,25550,10058
Z4,2010,33384,80452
5 Series,2017,20001,111311
i3,2015,21190,65901
3 Series,2018,37968,25852
5 Series,2022,79741,78570
5 Series,2017,25420,55755
5 Series,2013,47843,84952
X1,2012,77605,96216
Z4,2013,44718,6993
5 Series,2010,39500,6675
i3,2012,44132,110527
X1,2014,44880,139881
5 Series,2017,31627,41928
X1,2013,42172,134904
5 Series,2019,65552,131356
X1,2013,38091,56606
Z4,2020,58031,16915
X1,2022,48547,56027
X1,2019,45075,100809
Z4,2012,27942,29640
X1,2017,68515,94612
Z4,2022,38699,104612
X1,2023,63640,58380
i3,2010,29616,78022
X1,2010,16318,133750
X1,2016,63858,10066
3 Series,2018,22861,76125
X1,2011,50866,64444
5 Series,2011,33492,123121
X1,2022,43155,114372
3 Series,2013,17738,92591
X1,2019,76547,31083
Z4,2018,48177,116506
i3,2023,25779,72200
i3,2010,41637,73637
3 Series,2014,75654,52452
i3,2017,50793,109494
i3,2022,60482,74501
5 Series,2014,42150,14048
i3,2014,43193,141555
5 Series,2018,45855,92278
5 Series,2011,78513,67152
X1,2010,52001,103574
5 Series,2014,43863,20653
3 Series,2023,77503,81934
5 Series,2020,41781,40265
X1,2013,71071,95547
3 Series,2012,77776,67687
Z4,2023,55548,55145
5 Series,2015,63523,138739
X1,2018,61587,52267
X1,2018,34443,51993
X1,2021,67220,20908
Z4,2012,38691,117903
3 Series,2020,45501,43693
5 Series,2012,73039,128813
i3,2021,73872,101297
Z4,2010,78839,142648
5 Series,2017,62664,27908
Z4,2021,35765,111666
5 Series,2010,21365,95576
Z4,2017,20479,73136
X1,2017,25125,10734
3 Series,2016,44325,94224
Z4,2022,31934,94646
3 Series,2023,42164,23451
3 Series,2015,74301,36470
i3,2015,38109,41990
3 Series,2022,25634,57605
5 Series,2012,38722,120083
i3,2015,44756,146000
5 Series,2011,58587,67481
5 Series,2019,36444,9126
3 Series,2021,79123,76585
5 Series,2014,39544,141078
3 Series,2021,47036,107268
5 Series,2012,21198,87218
i3,2011,75394,92166
5 Series,2017,75974,96927
X1,2021,39797,75931
5 Series,2021,72282,120322
3 Series,2011,37863,116247
Z4,2022,18171,127257
3 Series,2018,70661,146737
X1,2023,60228,84335
i3,2020,60611,120773
3 Series,2022,41503,93482
5 Series,2019,60826,135344
Z4,2016,78876,55503
5 Series,2022,49445,72923
5 Series,2023,79458,17069
5 Series,2016,72821,16181
X1,2012,26678,105267
5 Series,2016,76948,79540
i3,2022,69408,46849
5 Series,2022,78093,9989
X1,2017,21378,98760
i3,2013,17352,42566
X1,2014,53148,49954
i3,2020,22007,15784
Z4,2012,23103,48174
i3,2017,49595,71526
X1,2015,33505,125870
5 Series,2012,73479,126317
3 Series,2019,39321,130092
3 Series,2013,74327,114075
i3,2011,68795,141141
X1,2011,44981,63655
Z4,2022,63307,83708
X1,2021,31037,71220
3 Series,2019,32481,62827
Z4,2020,23813,123845
5 Series,2011,60684,119975
Z4,2015,49711,104478
5 Series,2023,35487,129999
5 Series,2017,67466,117240
5 Series,2011,68057,138761
5 Series,2021,55314,125678
Z4,2017,42325,73225
X1,2014,65837,96062
5 Series,2016,24495,8022
Z4,2017,62116,7908
i3,2021,64671,114069
X1,2023,44730,108671
5 Series,2014,36153,16520
X1,2018,68933,54486
X1,2020,44937,148032
5 Series,2015,39625,112859
i3,2020,27181,15155
5 Series,2012,35578,148838
i3,2019,69500,111463
i3,2022,60811,113120
X1,2015,16648,52317
Z4,2010,54712,97374
5 Series,2016,78928,133255
5 Series,2016,44848,65009
X1,2017,65031,132898
5 Series,2019,29939,118023
i3,2019,69987,139391
i3,2011,70163,52784
5 Series,2019,48181,75864
i3,2018,43512,107990
3 Series,2018,59787,110163
i3,2015,73006,32156
5 Series,2011,61487,24453
5 Series,2012,21452,105361
X1,2021,43733,67771
3 Series,2022,35227,149512
Z4,2015,25600,65116
5 Series,2010,35728,126387
Z4,2019,45395,24995
3 Series,2014,30219,122259
X1,2010,71333,81485
i3,2019,50856,89271
3 Series,2014,58591,146094
5 Series,2011,28445,86462
i3,2014,43831,121642
3 Series,2020,78160,115484
3 Series,2020,66866,51891
5 Series,2017,40573,16324
i3,2020,61292,56874
5 Series,2020,40203,119616
Z4,2012,29807,34327
3 Series,2019,55216,60844
5 Series,2018,76351,62644
3 Series,2011,55241,14273
Z4,2014,26201,83003
X1,2020,59602,79440
5 Series,2023,75229,93986
i3,2018,71069,28327
i3,2023,46864,44924
3 Series,2020,74854,121718
5 Series,2012,75280,16867
5 Series,2012,55332,9868
3 Series,2023,59508,122438
5 Series,2016,21898,23976
Z4,2013,67675,144679
3 Series,2018,16796,18036
X1,2023,54793,28382
3 Series,2018,37849,101955
X1,2014,73363,70669
X1,2015,58975,26567
i3,2018,41661,62343
i3,2013,23214,74907
X1,2020,40528,80271
Z4,2013,53100,30407
3 Series,2020,47832,115818
i3,2010,77200,63964
Z4,2015,16635,52645
3 Series,2013,24384,30991
3 Series,2022,69491,48334
X1,2011,62193,11579
i3,2014,46134,13643
Z4,2015,21578,33925
i3,2018,36564,80344
i3,2019,65035,27660
Z4,2020,36642,93518
i3,2019,75077,74831
X1,2013,56513,76752
X1,2019,15544,131084
5 Series,2012,49428,132329
3 Series,2012,30762,121246
Z4,2020,40932,5776
3 Series,2018,37824,102915
5 Series,2020,76038,80715
X1,2023,17622,135135
Z4,2023,50708,14119
i3,2010,60523,102984
3 Series,2014,38472,127329
3 Series,2016,27005,69826
Z4,2010,51605,17852
3 Series,2015,48351,24894
3 Series,2012,42829,95086
3 Series,2015,44473,55302
3 Series,2018,40573,52812
X1,2014,51364,94214
Z4,2010,40975,97638
5 Series,2022,29125,48122
5 Series,2015,68485,101345
Z4,2010,29891,70385
3 Series,2012,36133,11402
i3,2021,64870,18431
Z4,2021,45436,67308
X1,2021,61397,9916
5 Series,2016,54657,147167
i3,2014,60664,111744
3 Series,2018,64401,126231
5 Series,2012,66419,13292
3 Series,2021,22880,108559
Z4,2010,22556,81133
Z4,2022,46250,31671
X1,2018,26671,70285
3 Series,2022,26837,108372
5 Series,2011,48044,69028
3 Series,2015,41079,23197
i3,2018,57750,142682
3 Series,2020,19154,149792
5 Series,2012,65244,90809
5 Series,2015,52091,144713
Z4,2023,53565,123556
5 Series,2017,55999,79612
X1,2016,33851,149151
3 Series,2017,69208,49696
3 Series,2015,40564,92152
i3,2013,24797,61980
X1,2016,19285,124179
i3,2011,36114,23603
i3,2010,65319,69063
X1,2018,56259,57373
i3,2019,46454,13224
Z4,2012,64985,69752
X1,2014,15793,21697
i3,2016,17911,132075
5 Series,2018,56083,11555
Z4,2013,24866,43966
X1,2017,23074,9371
5 Series,2019,29607,25657
X1,2017,72485,8664
Z4,2017,31806,46599
5 Series,2023,67892,62072
Z4,2016,61016,7853
i3,2013,48581,77192
i3,2020,70012,21021
i3,2013,20508,145299
5 Series,2012,31024,148134
Z4,2023,67278,40003
i3,2015,66145,99432
i3,2012,47158,98531
i3,2012,20693,68319
5 Series,2011,37790,55219
Z4,2018,32651,23928
Z4,2013,44096,110564
X1,2017,19112,81653
Z4,2012,28518,140820
3 Series,2012,74856,55695
X1,2013,51556,83786
X1,2016,16431,147887
i3,2023,55390,26070
Z4,2016,60899,105199
X1,2011,62912,31386
i3,2016,34580,51536
i3,2016,26421,23056
5 Series,2020,56882,84536
3 Series,2019,74169,93987
3 Series,2013,65504,32640
i3,2010,65614,122780
i3,2021,28249,91686
i3,2017,58001,124873
X1,2019,33362,127829
X1,2020,38524,148602
5 Series,2012,69683,118386
X1,2010,57237,79037
i3,2022,53598,143824
3 Series,2010,15199,104918
i3,2012,33806,66528
5 Series,2013,20679,34009
3 Series,2014,64248,47984
5 Series,2014,49579,118006
5 Series,2016,18804,19066
5 Series,2020,39721,9273
5 Series,2012,28161,61939
3 Series,2014,70791,107836
3 Series,2023,56753,95013
3 Series,2020,33662,95169
Z4,2023,30558,130569
X1,2018,39730,78837
X1,2022,23849,20907
3 Series,2023,36233,12685
i3,2011,31811,59929
X1,2012,78545,121593
X1,2021,58751,42037
3 Series,2015,69773,100809
i3,2019,75315,143480
X1,2020,23210,11815
3 Series,2011,19927,9080
X1,2020,73560,138049
3 Series,2021,18974,76041
i3,2012,19152,70190
3 Series,2020,53777,52698
5 Series,2021,39454,32316
X1,2019,77110,44595
3 Series,2017,54815,82416
5 Series,2012,79397,48514
X1,2010,53766,116374
X1,2023,46107,137879
5 Series,2013,48250,58055
X1,2015,65391,30287
3 Series,2021,52000,116492
Z4,2013,34764,45267
X1,2020,42015,29819
5 Series,2018,51519,23476
i3,2013,24989,23604
5 Series,2023,42244,51752
3 Series,2010,42632,77419
3 Series,2020,51113,123451
3 Series,2018,67970,71855
i3,2022,51872,144815
i3,2010,62614,36956
5 Series,2014,46831,108259
Z4,2023,65110,26019
5 Series,2021,50356,48983
i3,2022,71382,51316
X1,2018,25805,37339
5 Series,2022,25681,77743
5 Series,2016,66846,98327
3 Series,2013,29956,37672
Z4,2011,78638,89041
Z4,2013,31862,60826
Z4,2014,67312,40983
5 Series,2020,70278,47329
X1,2021,70296,16731
Z4,2023,78516,35815
5 Series,2015,41642,62672
Z4,2015,19052,47696
X1,2011,38332,36945
i3,2012,49475,75578
X1,2017,51843,67586
Z4,2020,32371,107681
X1,2014,52361,41484
X1,2022,18579,149063
5 Series,2014,73078,35158
Z4,2022,43788,23256
X1,2012,36077,8274
i3,2016,70793,55248
5 Series,2012,75434,11687
Z4,2019,37466,143849
X1,2013,40827,126152
i3,2019,62945,74020
5 Series,2020,19254,81306
X1,2016,74122,148455
Z4,2010,71677,148766
5 Series,2013,65140,91472
3 Series,2011,62584,6550
i3,2020,69046,13694
5 Series,2022,40943,43025
3 Series,2010,77588,52410
3 Series,2015,78560,62522
Z4,2021,18446,133039
X1,2018,19210,13519
X1,2020,17584,146133
5 Series,2016,77591,65747
3 Series,2019,31425,126589
3 Series,2023,38082,49092
3 Series,2018,59183,56027
X1,2020,21103,142806
5 Series,2012,26754,44662
3 Series,2019,67162,11143
i3,2023,64923,104815
i3,2022,39657,88178
3 Series,2010,72780,128732
X1,2011,57383,129091
5 Series,2013,29860,22721
i3,2022,53221,146769
Z4,2010,62112,6441
i3,2013,52959,108353
Z4,2023,58688,143221
i3,2010,31969,32100
X1,2018,22012,9432
i3,2020,22173,138609
X1,2022,61012,21528
X1,2022,73157,71585
3 Series,2012,15183,113963
i3,2018,44526,58963
5 Series,2017,62499,109273
3 Series,2020,64560,93428
Z4,2011,15879,43048
Z4,2012,67360,61926
Z4,2019,53695,53872
Z4,2022,40766,13129
5 Series,2018,31115,130869
i3,2018,56955,119399
3 Series,2010,56678,5766
3 Series,2020,68832,47267
i3,2010,57524,115353
3 Series,2013,75840,77574
5 Series,2016,75064,29086
3 Series,2023,19480,50220
i3,2014,39024,123137
i3,2020,75314,109455
Z4,2016,19035,42670
3 Series,2019,63083,100824
i3,2012,24821,126053
Z4,2019,29526,113692
X1,2013,35998,58274
X1,2014,70628,73932
Z4,2015,40490,8742
5 Series,2013,27308,69222
3 Series,2019,24126,129590
i3,2011,16059,132951
X1,2012,52087,58253
5 Series,2015,71886,117002
X1,2014,54436,38460
5 Series,2013,61855,147460
Z4,2015,39536,23346
3 Series,2012,21931,104681
Z4,2019,37151,106471
i3,2021,35931,17580
3 Series,2021,56979,83610
X1,2014,58780,77667
X1,2011,42452,63807
3 Series,2012,46308,15900
X1,2018,29229,115728
5 Series,2012,55166,45102
i3,2013,48691,64377
Z4,2012,37076,22815
i3,2015,47546,13075
X1,2019,65517,119266
i3,2013,62962,125154
5 Series,2011,59870,17380
3 Series,2010,34711,149958
Z4,2017,35370,53009
5 Series,2018,69795,37624
3 Series,2015,38175,33553
i3,2022,42050,20747
i3,2023,26888,90039
5 Series,2017,57702,7205
i3,2014,52679,88047
Z4,2011,76480,133476
i3,2010,71745,30121
5 Series,2015,40523,102970
3 Series,2013,20433,11383
X1,2010,38944,83863
Z4,2020,25480,47642
Z4,2017,65699,79114
3 Series,2013,79610,118756
X1,2022,47022,130421
i3,2015,65944,26695
Z4,2014,62471,101514
3 Series,2013,52609,26588
5 Series,2011,78743,136981
X1,2019,61512,9079
i3,2022,56657,123491
3 Series,2015,35758,92526
X1,2016,76669,54957
3 Series,2018,78408,81459
3 Series,2020,70079,19758
Z4,2016,73516,39640
i3,2011,55410,103916
